ID CARTO;Adresse;CP;Ville;Opération;Activité précise du locataire;Catégorie activité;Enseigne;LAT_ok;LONG_ok;XY
C90;1 rue du Pont Louis-Philippe;75004;Paris;DLH;Articles décoration;EQUIPEMENT;LES RIVES DU MEKONG;48.85475568;2.35516196;48.85475568, 2.35516196
C193;20 rue Crozatier;75012;Paris;Foncière;épicerie (produits anglais et américains);ALIMENTAIRE;CHELSEA STORE;48.84639184;2.38219795;48.84639184, 2.38219795
C17;134 Boulevard Mac Donald;75019;Paris;CLAUDE BERNARD;Agence bancaire;SERVICES A LA PERSONNE;BNP PARIBAS;48.89904873;2.3795053;48.89904873, 2.3795053
C5;22 Rue Jessaint;75018;Paris;CHÂTEAU ROUGE;déco d'intérieur;EQUIPEMENT;COCO BOHÈME;48.88508659;2.35547768;48.88508659, 2.35547768
C19;154 Boulevard Macdonald;75019;Paris;CLAUDE BERNARD;Brasserie;SERVICES A LA PERSONNE;COCK ART;48.89908306;2.37775282;48.89908306, 2.37775282
C246;121 av Daumesnil;75012;Paris;Viaduc des arts;qunicaillerie haut de gamme;METIERS D'ART;SERIE RARE;48.84470009;2.38111612;48.84470009, 2.38111612
C249;119 av Daumesnil;75012;Paris;Viaduc des arts;Création objets design;METIERS D'ART;STUDIO DAN YEFFET;48.84476977;2.38097328;48.84476977, 2.38097328
C194;32 Rue des Couronnes;75020;Paris;Foncière;Dépôt de pain;ALIMENTAIRE;BOULANGERIE ROYALE;48.86969125;2.38253733;48.86969125, 2.38253733
C99;28 rue Mazarine;75006;Paris;DLH;Galerie d'art, Brocante;CULTUREL;CONNOISSEUR'S GALLERY;48.85617752;2.33731897;48.85617752, 2.33731897
C312;10 rue du Château d'eau;75010;Paris;VQ2;Conception, création et vente au détail d'accessoires de mode, de décoration et papeterie;EQUIPEMENT;JAMINI;48.86971346;2.36114858;48.86971346, 2.36114858
C331;50 boulevard de Strasbourg;75010;Paris;VQ2;;TRAVAUX;;48.87325584;2.35667341;48.87325584, 2.35667341
C326;38 rue de Lancry;75010;Paris;VQ2;Boucherie;ALIMENTAIRE;VIANDE & CHEF;48.87133919;2.36201577;48.87133919, 2.36201577
C29;144 Boulevard Macdonald;75019;Paris;CLAUDE BERNARD;Salon de coiffure;SERVICES A LA PERSONNE;UN LOOK POUR TOUS;48.89912429;2.37862485;48.89912429, 2.37862485
C1000;37 rue Myrha;75018;Paris;CHÂTEAU ROUGE;vente au détail de chaussures éthiques;EQUIPEMENT;SAWA;48.887;2.3531;48.887, 2.3531
C146;187 Rue Saint-Denis;75002;Paris;Foncière;Disquaire;CULTUREL;MAQUIS MEGASTORE;48.86607931;2.35070173;48.86607931, 2.35070173
C289;7 rue des fossés Saint-Jacques;75005;Paris;VQ2;librairie et maison d’édition et à titre accessoire, ateliers philos;CULTUREL;LES PETITS PLATONS;48.84596933;2.34372775;48.84596933, 2.34372775
C137;21 Avenue du Maine;75015;Paris;DLH;architectes;SERVICES A LA PERSONNE;;48.84354859;2.32110123;48.84354859, 2.32110123
C165;9/11 passage Bullourde;75011;Paris;Foncière;Vente de matériel médical et orthopédique;SERVICES A LA PERSONNE;CELYATIS;48.85496109;2.37749735;48.85496109, 2.37749735
C100;35/37 rue Bonaparte-18rue de l'Abbaye et 16 rue de l'Abbaye;75006;Paris;DLH;Editions;CULTUREL;EDITIONS ASSOULINE;48.85470651;2.33376262;48.85470651, 2.33376262
C287;4 rue des Anglais;75005;Paris;VQ2;maison d'édition et vente de livres numériques;CULTUREL;LIBRINOVA;48.85090292;2.34776939;48.85090292, 2.34776939
C192;23 rue Montgallet;75012;Paris;Foncière;Sandwicherie;SERVICES A LA PERSONNE;VIETNAM SANDWICH;48.8436878;2.38795755;48.8436878, 2.38795755
C240;107 av Daumesnil;75012;Paris;Viaduc des arts;literie;EQUIPEMENT;MON LIT ET MOI;48.84514959;2.38019613;48.84514959, 2.38019613
C18;144 Boulevard Macdonald;75019;Paris;CLAUDE BERNARD;Opticien;SERVICES A LA PERSONNE;BY JOSEPH;48.89914676;2.37857719;48.89914676, 2.37857719
C280;17 rue Linné;75005;Paris;VQ2;Librairie, société d'éditions;CULTUREL;EDITIONS SILLAGE;48.84485993;2.35452042;48.84485993, 2.35452042
C323;12 rue du Faubourg Saint-Martin;75010;Paris;VQ2;création, fabrication et vente d'objets de design et d'art;METIERS D'ART;FCK;48.86965714;2.35605414;48.86965714, 2.35605414
C79;37Bis rue de Montreuil;75011;Paris;Cour de l'Industrie;Doreur sur bois;METIERS D'ART;;48.85051858;2.387124;48.85051858, 2.387124
C128;21 avenue du Maine;75015;Paris;DLH;Théâtre;CULTUREL;THÉATRE EXPRESS;48.84344753;2.32104002;48.84344753, 2.32104002
C154;24 rue au Maire;75003;Paris;Foncière;vente de materiel et d'articles de sports;EQUIPEMENT;L'ECHOPPE;48.86471652;2.35600972;48.86471652, 2.35600972
C305;34ter rue de Dunkerque;75010;Paris;VQ2;Bricolage;EQUIPEMENT;BRICOROUX;48.88101688;2.35047935;48.88101688, 2.35047935
C145;6 Rue de la Grande Truanderie;75001;Paris;Foncière;Epicerie;ALIMENTAIRE;HERA;48.86273106;2.34939719;48.86273106, 2.34939719
C257;123 av Daumesnil;75012;Paris;Viaduc des arts;vente de produits chocolatés, d’ustensiles de chocolatier,  dégustation sur place, organisation d’ateliers d’animation, de fabrication et de découverte du chocolat;ALIMENTAIRE;L'ATELIER C;48.84465065;2.38121645;48.84465065, 2.38121645
C308;69 rue de Maubeuge;75010;Paris;VQ2;Caviste;ALIMENTAIRE;EN VRAC!;48.87994907;2.35008069;48.87994907, 2.35008069
C189;54 bd Diderot;75012;Paris;Foncière;Traiteur asiatique;SERVICES A LA PERSONNE;MEI XI;48.84637934;2.37965958;48.84637934, 2.37965958
C225;109 av Daumesnil;75012;Paris;Viaduc des arts;Création bijoux;METIERS D'ART;HELIODORE;48.84508779;2.38032537;48.84508779, 2.38032537
C349;96 rue de Maubeuge;75010;Paris;VQ2;épicerie fine;ALIMENTAIRE;LES MISCELLANÉES DE M. JASH;48.88012746;2.35132524;48.88012746, 2.35132524
C207;16 Esplanade Nathalie Sarraute;75018;Paris;Pajol;épicerie, papeterie et dépôt de presse;ALIMENTAIRE;DELIDROP;48.88860099;2.36239218;48.88860099, 2.36239218
C224;69 av Daumesnil;75012;Paris;Viaduc des arts;restauration œuvres d'art/expos;SERVICES A LA PERSONNE;GALERIE CLAUDE SAMUEL;48.84665537;2.3770686899999998;48.84665537, 2.3770686899999998
C258;127 av Daumesnil;75012;Paris;Viaduc des arts;gravure laser sur cristal ou verre optic;METIERS D'ART;ZEPHYR 3D;48.84452141;2.38149874;48.84452141, 2.38149874
C210;111 av Daumesnil;75012;Paris;Viaduc des arts;orfèvrerie;METIERS D'ART;ATELIER DU CUIVRE;48.84502598;2.38045972;48.84502598, 2.38045972
C142;21 Avenue du Maine;75015;Paris;DLH;Espace culturel;METIERS D'ART;;48.84348911;2.32133432;48.84348911, 2.32133432
